date,text,grid,template,src
,WBEZ: Chicago Homicides Up During Tumultuous 2015 For Police,,link,https://www.wbez.org/shows/wbez-news/chicago-homicides-up-during-tumultuous-2015-for-police/5506d6c8-5666-404b-8058-ddd62789d293
,WBEZ: Police Violence Raises Concern Over Access to Mental Health Services,,link,https://www.wbez.org/shows/wbez-news/police-violence-raises-concern-over-access-to-mental-health-services/55774a45-7999-4ff0-8e89-9849873a2cb2
"Jan. 22, 2016",,,date,
,"<li>  Chicago Police Detective David March, who concluded the McDonald shooting was justified, and Officer Joseph Walsh, who was Van Dyke’s partner, were placed on desk duty. </li>",,list,
"Feb. 16, 2016",,,date,
,<li>  Several civil-rights attorneys called for a special prosecutor to prosecute Van Dyke and investigate an alleged coverup. </li>,,list,
,"<div class=""DC-embed DC-embed-page"" data-version=""1.1"">  <div style=""font-size:10pt;line-height:14pt;"">    Page 1 of <a class=""DC-embed-resource"" href=""https://www.documentcloud.org/documents/3224094-20160216-Petition-for-Special-Prosecutor.html#document/p1"" title=""View entire 20160216 Petition for Special Prosecutor on DocumentCloud in new window or tab"" target=""_blank"">20160216 Petition for Special Prosecutor</a>  </div>  <img src=""//assets.documentcloud.org/documents/3224094/pages/20160216-Petition-for-Special-Prosecutor-p1-normal.gif?1479825024"" srcset=""//assets.documentcloud.org/documents/3224094/pages/20160216-Petition-for-Special-Prosecutor-p1-normal.gif?1479825024 700w, //assets.documentcloud.org/documents/3224094/pages/20160216-Petition-for-Special-Prosecutor-p1-large.gif?1479825024 1000w"" alt=""Page 1 of 20160216 Petition for Special Prosecutor"" style=""max-width:100%;height:auto;margin:0.5em 0;border:1px solid #ccc;-webkit-box-sizing:border-box;box-sizing:border-box;clear:both"">  <div style=""font-size:8pt;line-height:12pt;text-align:center"">    Contributed to    <a href=""https://www.documentcloud.org/"" title=""Go to DocumentCloud in new window or tab"" target=""_blank"" style=""font-weight:700;font-family:Gotham,inherit,sans-serif;color:inherit;text-decoration:none"">DocumentCloud</a> by    <a href=""https://www.documentcloud.org/public/search/Account:9732-chris-hagan"" title=""View documents contributed to DocumentCloud by Chris Hagan in new window or tab"" target=""_blank"">Chris Hagan</a> of    <a href=""https://www.documentcloud.org/public/search/Group:wbez"" title=""View documents contributed to DocumentCloud by WBEZ in new window or tab"" target=""_blank"">WBEZ</a> &bull;    <a href=""https://www.documentcloud.org/documents/3224094-20160216-Petition-for-Special-Prosecutor.html#document/p1"" title=""View entire 20160216 Petition for Special Prosecutor on DocumentCloud in new window or tab"" target=""_blank"">View document</a> or    <a href=""https://www.documentcloud.org/documents/3224094/pages/20160216-Petition-for-Special-Prosecutor-p1.txt"" title=""Read the text of page 1 of 20160216 Petition for Special Prosecutor on DocumentCloud in new window or tab"" target=""_blank"">read text</a>  </div></div><script src=""//assets.documentcloud.org/embed/loader/enhance.js""></script>",,document,
,"<li>  State’s Attorney Alvarez dismissed the request, saying her office was capable of handling the case, and questioned the timing — just weeks before the Democratic primary. Kim Foxx, one of Alvarez’s opponents, had vowed to appoint a special prosecutor in all police-shooting cases. </li><li>  Emanuel announced a new 60-day deadline for the city to release police reports and video and audio recordings related to police shootings. </li>",,list,
,Morning Shift: Teaching Laquan McDonald,,link,https://www.wbez.org/shows/morning-shift/teaching-laquan-mcdonald/bc65d9d0-79b6-4967-8ea1-73fedb1e8fc4
"March 15, 2016",,,date,
,<li>  Foxx is elected as the Democratic nominee for Cook County state’s attorney. </li>,,list,
,"<p> “Laquan McDonald was the most important thing for everybody,” Foxx campaign manager Brian Sleet says about a poll taken after the video’s release. “ The tracker poll we did a couple of weeks before the election ... black voters still cared a lot more, but the white liberal vote, interest had dropped 30-plus percent. What you see working in the neighborhoods is that violence in the South Side and West Side are something that people shake their head about, but it’s not an enduring thing that people are focused on trying to fix.” </p>",,reflection,
,WBEZ: Young Kim Foxx Supporters Keep Eyes On Criminal Justice Reform,,link,https://www.wbez.org/shows/wbez-news/young-kim-foxx-supporters-eager-for-reform/6e33505c-b6b5-480e-a54b-7fb272c4dcd6
,,col-xs-12 col-md-10 col-md-offset-1,photo,images/image08.jpg
,"Kim Foxx smiles at the crowd as she celebrates her Democratic primary win over incumbent Cook County State’s Attorney Anita Alvarez on March 15, 2016, in Chicago. (AP Photo/Charles Rex Arbogast)",,caption,
"March 29, 2016",,,date,
,"<li>  New interim police Supt. Eddie Johnson <a href=""http://chicago.cbslocal.com/2016/03/29/new-interim-supt-johnson-says-hes-never-witnessed-police-misconduct-in-27-years-with-cpd/""> told CBS-Ch. 2 </a> he has never seen police misconduct during his 27 years on the force. </li><li>  “I’ve actually never encountered police misconduct, be cause you got to understand, officers that commit misconduct don’t do it in front of people that they think are going to hold them accountable for it,” Johnson said. “Now that I’m sitting in this chair, if I come across it, I will deal with it accordingly.” </li>",,list,
,,col-xs-12 col-md-10 col-md-offset-1,photo,images/image00.jpg
,"Mayor Rahm Emanuel swears in Eddie Johnson as the new police superintendent at a City Council meeting April 13, 2016. Johnson, who has 27 years on the force, was Emanuel’s hand-picked choice to take the job. The City Council confirmed the appointment in a 50-0 vote. (AP Photo/M. Spencer Green)",,caption,
"April 13, 2016",,,date,
